satellite,date,lon,lat,id,evi2,QA_PIXEL
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.955547,-71.742178,6,-0.5330894482397603,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.928928,-71.765647,7,-0.48860268391300093,5440
LANDSAT/LT05/C02/T1_L2,1985-06-22,43.918358,-71.769733,8,-0.48924541817830225,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.945733,-71.700975,0,-0.49765249335138817,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.952022,-71.725558,1,-0.5209923326809519,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.950917,-71.728739,2,-0.5736775785861205,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.958947,-71.731661,3,-0.4493066611631975,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.949128,-71.731831,4,-0.4949440084137089,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.9574,-71.736869,5,-0.2590106750739212,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.955547,-71.742178,6,-0.5263785503991868,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.928928,-71.765647,7,-0.4723253253346866,5440
LANDSAT/LT05/C02/T1_L2,1985-08-09,43.918358,-71.769733,8,-0.4659449773119805,5440
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-09-26,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.945733,-71.700975,0,-0.337643871327912,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.952022,-71.725558,1,-0.36894976429191817,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.950917,-71.728739,2,-0.3932439238593711,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.958947,-71.731661,3,-0.19241927776640047,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.949128,-71.731831,4,-0.3250896045749836,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.9574,-71.736869,5,-0.24431166646813723,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.955547,-71.742178,6,-0.24299595576550662,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.928928,-71.765647,7,-0.22165691620485412,5440
LANDSAT/LT05/C02/T1_L2,1985-10-12,43.918358,-71.769733,8,-0.22307027893383335,5440
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-10-28,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1985-11-13,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1986-01-16,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1986-02-01,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1986-04-06,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.945733,-71.700975,0,-0.5006613272182282,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.952022,-71.725558,1,-0.5062995827093895,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.950917,-71.728739,2,-0.5503578057985968,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.958947,-71.731661,3,-0.42740221992937066,5442
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.949128,-71.731831,4,-0.4854007711087436,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.9574,-71.736869,5,-0.3547843490534997,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.955547,-71.742178,6,-0.49507782004483836,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.928928,-71.765647,7,-0.4664701621308158,5440
LANDSAT/LT05/C02/T1_L2,1986-06-09,43.918358,-71.769733,8,-0.4439274322515712,5440
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.952022,-71.725558,1,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.950917,-71.728739,2,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.928928,-71.765647,7,,
LANDSAT/LT05/C02/T1_L2,1986-06-25,43.918358,-71.769733,8,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.945733,-71.700975,0,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.952022,-71.725558,1,-0.3978083634655809,5440
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.950917,-71.728739,2,-0.436535363410852,5440
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.958947,-71.731661,3,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.949128,-71.731831,4,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.9574,-71.736869,5,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.955547,-71.742178,6,,
LANDSAT/LT05/C02/T1_L2,1986-07-11,43.928928,-71.765647,7,,
